,train,val
0,"{'class_1': 0.6246323585510254, 'class_2': 0.7643382549285889, 'class_3': 0.9334558844566345, 'class_4': 0.6830882430076599, 'class_5': 0.9308823943138123}","{'class_1': 0.6414252519607544, 'class_2': 0.7676318883895874, 'class_3': 0.9391240477561951, 'class_4': 0.6577579975128174, 'class_5': 0.8997781872749329}"
1,"{'class_1': 0.6312500238418579, 'class_2': 0.7783088684082031, 'class_3': 0.9330882430076599, 'class_4': 0.7926470637321472, 'class_5': 0.9536764621734619}","{'class_1': 0.6414252519607544, 'class_2': 0.7694879174232483, 'class_3': 0.9394952058792114, 'class_4': 0.7605795860290527, 'class_5': 0.26095035672187805}"
2,"{'class_1': 0.6849265098571777, 'class_2': 0.7952206134796143, 'class_3': 0.9375, 'class_4': 0.8959559202194214, 'class_5': 0.9621323943138123}","{'class_1': 0.6469932794570923, 'class_2': 0.7026726007461548, 'class_3': 0.9402376413345337, 'class_4': 0.5957685112953186, 'class_5': 0.31700074672698975}"
3,"{'class_1': 0.7426470518112183, 'class_2': 0.8375000357627869, 'class_3': 0.9452205896377563, 'class_4': 0.929411768913269, 'class_5': 0.966911792755127}","{'class_1': 0.6414253115653992, 'class_2': 0.7687457203865051, 'class_3': 0.9394952058792114, 'class_4': 0.47141826152801514, 'class_5': 0.1714922934770584}"
4,"{'class_1': 0.7783088684082031, 'class_2': 0.8613970875740051, 'class_3': 0.9470588564872742, 'class_4': 0.9426470994949341, 'class_5': 0.9683823585510254}","{'class_1': 0.6443948745727539, 'class_2': 0.5215291380882263, 'class_3': 0.9424648880958557, 'class_4': 0.7149222493171692, 'class_5': 0.8192281723022461}"
5,"{'class_1': 0.7948529720306396, 'class_2': 0.8724265098571777, 'class_3': 0.9503676891326904, 'class_4': 0.956250011920929, 'class_5': 0.971323549747467}","{'class_1': 0.6625834703445435, 'class_2': 0.6510767340660095, 'class_3': 0.9428359866142273, 'class_4': 0.75983726978302, 'class_5': 0.8700826168060303}"
6,"{'class_1': 0.8297794461250305, 'class_2': 0.888235330581665, 'class_3': 0.956250011920929, 'class_4': 0.9676470756530762, 'class_5': 0.9720588326454163}","{'class_1': 0.6651812791824341, 'class_2': 0.7743133306503296, 'class_3': 0.9417225122451782, 'class_4': 0.8251672387123108, 'class_5': 0.836674690246582}"
7,"{'class_1': 0.8386029601097107, 'class_2': 0.8915441632270813, 'class_3': 0.958823561668396, 'class_4': 0.9672794342041016, 'class_5': 0.9746323823928833}","{'class_1': 0.6488489508628845, 'class_2': 0.7442466020584106, 'class_3': 0.9424649477005005, 'class_4': 0.6102452874183655, 'class_5': 0.7798810005187988}"
8,"{'class_1': 0.8455882668495178, 'class_2': 0.9080882668495178, 'class_3': 0.956250011920929, 'class_4': 0.966911792755127, 'class_5': 0.9757353067398071}","{'class_1': 0.6507050395011902, 'class_2': 0.7253155708312988, 'class_3': 0.9413512945175171, 'class_4': 0.6484782099723816, 'class_5': 0.7602078914642334}"
9,"{'class_1': 0.8584558963775635, 'class_2': 0.9165441393852234, 'class_3': 0.9591912031173706, 'class_4': 0.9783088564872742, 'class_5': 0.9812500476837158}","{'class_1': 0.6492204666137695, 'class_2': 0.48515215516090393, 'class_3': 0.9394952058792114, 'class_4': 0.5463995337486267, 'class_5': 0.6039348840713501}"
10,"{'class_1': 0.8691176772117615, 'class_2': 0.9308823943138123, 'class_3': 0.9591912031173706, 'class_4': 0.9753676652908325, 'class_5': 0.977573573589325}","{'class_1': 0.6495917439460754, 'class_2': 0.7943583130836487, 'class_3': 0.9394952058792114, 'class_4': 0.6124722957611084, 'class_5': 0.29435786604881287}"
11,"{'class_1': 0.8845588564872742, 'class_2': 0.9371323585510254, 'class_3': 0.9643382430076599, 'class_4': 0.9750000238418579, 'class_5': 0.976838231086731}","{'class_1': 0.6529322862625122, 'class_2': 0.7123235464096069, 'class_3': 0.8782484531402588, 'class_4': 0.6347438097000122, 'class_5': 0.5397181510925293}"
12,"{'class_1': 0.9000000357627869, 'class_2': 0.9466912150382996, 'class_3': 0.9636029601097107, 'class_4': 0.9757353067398071, 'class_5': 0.9801470637321472}","{'class_1': 0.6547883749008179, 'class_2': 0.785078763961792, 'class_3': 0.9023759365081787, 'class_4': 0.6458800435066223, 'class_5': 0.40608784556388855}"
13,"{'class_1': 0.8742647171020508, 'class_2': 0.9305147528648376, 'class_3': 0.9613970518112183, 'class_4': 0.9577205777168274, 'class_5': 0.9841911792755127}","{'class_1': 0.6529322266578674, 'class_2': 0.6837413311004639, 'class_3': 0.7980702519416809, 'class_4': 0.5824055075645447, 'class_5': 0.8841875791549683}"
14,"{'class_1': 0.9191176891326904, 'class_2': 0.9595588445663452, 'class_3': 0.9705882668495178, 'class_4': 0.976838231086731, 'class_5': 0.9871323704719543}","{'class_1': 0.6236079931259155, 'class_2': 0.7828508615493774, 'class_3': 0.8611735701560974, 'class_4': 0.6818856000900269, 'class_5': 0.8043798804283142}"
15,"{'class_1': 0.9290441274642944, 'class_2': 0.9613970518112183, 'class_3': 0.9702206254005432, 'class_4': 0.9808823466300964, 'class_5': 0.9856618046760559}","{'class_1': 0.6670377254486084, 'class_2': 0.7865630984306335, 'class_3': 0.9261324405670166, 'class_4': 0.8047513365745544, 'class_5': 0.5096510052680969}"
16,"{'class_1': 0.9488970637321472, 'class_2': 0.9727941155433655, 'class_3': 0.9738970994949341, 'class_4': 0.9783088564872742, 'class_5': 0.9908088445663452}","{'class_1': 0.6395694017410278, 'class_2': 0.788419246673584, 'class_3': 0.7512994408607483, 'class_4': 0.6989607810974121, 'class_5': 0.730141282081604}"
17,"{'class_1': 0.9466912150382996, 'class_2': 0.9746323823928833, 'class_3': 0.9801470637321472, 'class_4': 0.981985330581665, 'class_5': 0.9941176772117615}","{'class_1': 0.6718636155128479, 'class_2': 0.8251672387123108, 'class_3': 0.9565702676773071, 'class_4': 0.8340763449668884, 'class_5': 0.5144768953323364}"
18,"{'class_1': 0.9625000357627869, 'class_2': 0.9772058725357056, 'class_3': 0.981985330581665, 'class_4': 0.9845588207244873, 'class_5': 0.9955882430076599}","{'class_1': 0.6570156812667847, 'class_2': 0.7026727795600891, 'class_3': 0.94246506690979, 'class_4': 0.7832221388816833, 'class_5': 0.8433560132980347}"
19,"{'class_1': 0.9650735259056091, 'class_2': 0.9808823466300964, 'class_3': 0.981985330581665, 'class_4': 0.9805147051811218, 'class_5': 0.9948529601097107}","{'class_1': 0.664068341255188, 'class_2': 0.8025240898132324, 'class_3': 0.9536008834838867, 'class_4': 0.8047512769699097, 'class_5': 0.5211583971977234}"
20,"{'class_1': 0.9650735259056091, 'class_2': 0.9849264621734619, 'class_3': 0.9856618046760559, 'class_4': 0.981985330581665, 'class_5': 0.9933823943138123}","{'class_1': 0.6748331785202026, 'class_2': 0.7869338989257812, 'class_3': 0.9484041929244995, 'class_4': 0.8062363862991333, 'class_5': 0.5129921436309814}"
21,"{'class_1': 0.9761029481887817, 'class_2': 0.9849264621734619, 'class_3': 0.9882352948188782, 'class_4': 0.9904412031173706, 'class_5': 0.998161792755127}","{'class_1': 0.6636971831321716, 'class_2': 0.5397179126739502, 'class_3': 0.9576839804649353, 'class_4': 0.7468447089195251, 'class_5': 0.6785451769828796}"
22,"{'class_1': 0.9860294461250305, 'class_2': 0.9904412031173706, 'class_3': 0.9856618046760559, 'class_4': 0.9922794103622437, 'class_5': 0.9974265098571777}","{'class_1': 0.6544172167778015, 'class_2': 0.8366743922233582, 'class_3': 0.9502599835395813, 'class_4': 0.7041576504707336, 'class_5': 0.5779510140419006}"
23,"{'class_1': 0.981985330581665, 'class_2': 0.9882352948188782, 'class_3': 0.9911764860153198, 'class_4': 0.9926470518112183, 'class_5': 0.9944853186607361}","{'class_1': 0.675575315952301, 'class_2': 0.792873203754425, 'class_3': 0.9469196200370789, 'class_4': 0.8303641080856323, 'class_5': 0.7431328296661377}"
24,"{'class_1': 0.9838235378265381, 'class_2': 0.9908088445663452, 'class_3': 0.9930147528648376, 'class_4': 0.9889706373214722, 'class_5': 0.9977941513061523}","{'class_1': 0.6436524391174316, 'class_2': 0.7850779891014099, 'class_3': 0.9506311416625977, 'class_4': 0.7783963680267334, 'class_5': 0.7145510315895081}"
25,"{'class_1': 0.987500011920929, 'class_2': 0.991911768913269, 'class_3': 0.9966911673545837, 'class_4': 0.9908088445663452, 'class_5': 0.998161792755127}","{'class_1': 0.664810836315155, 'class_2': 0.8363030552864075, 'class_3': 0.9576837420463562, 'class_4': 0.7917593121528625, 'class_5': 0.8329622745513916}"
26,"{'class_1': 0.9889706373214722, 'class_2': 0.9948529601097107, 'class_3': 0.9959558844566345, 'class_4': 0.9966911673545837, 'class_5': 0.9941176772117615}","{'class_1': 0.6507052779197693, 'class_2': 0.7980700135231018, 'class_3': 0.18151448667049408, 'class_4': 0.4454343020915985, 'class_5': 0.22680020332336426}"
27,"{'class_1': 0.9852941632270813, 'class_2': 0.9911764860153198, 'class_3': 0.9886029362678528, 'class_4': 0.9930147528648376, 'class_5': 0.998161792755127}","{'class_1': 0.6622123718261719, 'class_2': 0.6818857192993164, 'class_3': 0.9524873495101929, 'class_4': 0.7802523374557495, 'class_5': 0.46065324544906616}"
28,"{'class_1': 0.9867647290229797, 'class_2': 0.990073561668396, 'class_3': 0.9948529601097107, 'class_4': 0.9952206015586853, 'class_5': 0.9977941513061523}","{'class_1': 0.6636969447135925, 'class_2': 0.7839647531509399, 'class_3': 0.9472904801368713, 'class_4': 0.7906458377838135, 'class_5': 0.8032668828964233}"
