,모델명,호수,날짜,시작시간,완료시간,DB총수량,2차분류_불량,2차분류불량율
0,tint,2,7월27일,9:51,17:39,9895.0,705.0,0.07
1,DA6247,2,8월11일,13:29,14:13,1666.0,68.0,0.04
2,DA4276,2,8월17일,9:28,9:52,1180.0,34.0,0.03
3,DA4076,2,8월11일,10:38,11:47,1697.0,108.0,0.06
4,DA4076,2,8월17일,9:53,10:20,1299.0,187.0,0.14
5,DA4076,2,8월17일,14:36,14:46,250.0,30.0,0.12
6,DA4076,2,8월23일,11:21,11:45,1108.0,82.0,0.07
7,DA4076,2,8월23일,13:59,14:37,1970.0,341.0,0.17
8,DA4076,2,8월23일,15:50,16:31,2004.0,257.0,0.13
9,DA4076,2,8월1일,9:08,10:52,4250.0,298.0,0.07
10,DA3352,2,8월17일,11:19,11:54,1680.0,243.0,0.14
11,DA3352,2,8월17일,11:55,13:28,1805.0,254.0,0.14
12,DA3352,2,8월17일,13:29,14:24,957.0,173.0,0.18
13,DA3352,2,8월17일,16:55,17:45,2248.0,156.0,0.07
14,DA2972,2,8월17일,8:59,9:27,1399.0,82.0,0.06
15,DA2972,2,8월22일,16:50,17:14,1168.0,122.0,0.1
16,DA2972,2,7월20일,16:18,16:23,270.0,25.0,0.09
17,DA2972,2,7월21일,9:39,15:10,3715.0,708.0,0.19
18,DA2972,2,7월25일,10:05,17:25,4475.0,342.0,0.08
19,DA2972,2,7월26일,9:47,15:53,9990.0,905.0,0.09
20,DA2942,2,8월22일,9:22,9:56,1594.0,59.0,0.04
21,DA2942,2,8월22일,9:57,10:28,1588.0,146.0,0.09
22,DA2942,2,8월22일,10:29,11:12,1418.0,67.0,0.05
23,DA2942,2,8월22일,14:41,15:48,2203.0,94.0,0.04
24,DA2942,2,8월22일,15:49,16:26,1718.0,82.0,0.05
25,DA2942,2,7월24일,14:01,17:51,4295.0,282.0,0.07
26,DA1570,2,8월22일,11:13,11:40,1366.0,117.0,0.09
27,DA1570,2,8월22일,11:41,12:23,1860.0,128.0,0.07
28,DA1570,2,8월22일,12:24,13:44,1050.0,83.0,0.08
29,DA1570,2,8월22일,13:45,14:01,770.0,73.0,0.09
30,DA1570,2,8월22일,14:02,14:20,840.0,93.0,0.11
31,DA1570,2,8월22일,14:21,14:40,899.0,127.0,0.14
32,DA1556,2,8월11일,11:48,13:28,1887.0,121.0,0.06
33,DA1549,2,8월11일,9:00,10:37,1790.0,70.0,0.04
34,DA1549,2,7월28일,17:14,17:15,20.0,7.0,0.35
35,DA0146,2,8월23일,11:46,12:19,1658.0,419.0,0.25
36,DA0146,2,8월23일,12:20,13:58,2022.0,231.0,0.11
37,DA0146,2,8월23일,14:38,14:59,1020.0,55.0,0.05
38,DA0146,2,8월23일,15:00,15:50,2256.0,270.0,0.12
39,DA0146,2,8월23일,16:31,17:04,1670.0,196.0,0.12
40,DA0146,2,8월23일,17:16,17:44,1329.0,146.0,0.11
41,DA0146,2,8월24일,9:09,9:28,885.0,161.0,0.18
42,60TT,2,8월24일,14:00,15:09,1570.0,271.0,0.17
43,60TT,2,8월24일,15:09,16:08,2188.0,47.0,0.02
44,60TT,2,8월24일,16:09,16:42,1674.0,63.0,0.04
45,60TT,2,8월24일,16:42,17:00,768.0,56.0,0.07
46,60TT,2,8월25일,9:00,9:45,750.0,29.0,0.04
47,60TT,2,8월25일,10:10,11:51,2382.0,50.0,0.02
48,60TT,2,8월25일,11:52,13:37,2224.0,141.0,0.06
49,55TT,2,8월23일,17:05,17:15,449.0,45.0,0.1
50,55TT,2,8월25일,13:37,14:40,2588.0,188.0,0.07
51,55TT,2,8월25일,14:42,15:11,1524.0,383.0,0.25
52,55TT,2,8월25일,15:12,15:41,1285.0,138.0,0.11
53,55TT,2,8월25일,15:42,16:14,1030.0,206.0,0.2
54,55TT,2,8월25일,16:15,17:15,2552.0,274.0,0.11
55,DA2942,2,8월17일,10:21,11:18,1900.0,106.0,0.06
56,DA2972,2,8월22일,16:27,16:49,1090.0,112.0,0.1
57,DA7152,3,8월17일,11:33,12:11,1659.0,303.0,0.18
58,DA7152,3,8월17일,12:12,13:36,1428.0,259.0,0.18
59,DA6247,3,7월26일,16:40,17:33,1800.0,339.0,0.19
60,DA6247,3,7월27일,10:49,17:19,10104.0,823.0,0.08
61,DA4076,3,8월11일,12:01,12:26,1244.0,69.0,0.06
62,DA4076,3,8월17일,8:57,9:30,1210.0,61.0,0.05
63,DA4076,3,8월17일,9:31,9:58,1168.0,87.0,0.07
64,DA4076,3,8월17일,14:27,15:09,1968.0,188.0,0.1
65,DA4076,3,8월17일,15:10,15:47,1104.0,142.0,0.13
66,DA4076,3,8월1일,9:12,10:26,3690.0,271.0,0.07
67,DA3352,3,8월11일,10:06,10:21,648.0,305.0,0.47
68,DA2972,3,8월22일,16:23,16:58,1718.0,211.0,0.12
69,DA2972,3,7월18일,18:17,18:23,65.0,15.0,0.23
70,DA2972,3,7월21일,13:46,15:59,1620.0,409.0,0.25
71,DA2972,3,7월25일,12:00,15:25,2965.0,574.0,0.19
72,DA2942,3,8월22일,9:21,10:07,2245.0,213.0,0.09
73,DA2942,3,8월22일,10:08,10:48,1961.0,196.0,0.1
74,DA2942,3,8월22일,10:49,11:50,1870.0,246.0,0.13
75,DA2942,3,8월22일,16:59,17:30,1464.0,82.0,0.06
76,DA2942,3,7월18일,18:23,18:25,110.0,26.0,0.24
77,DA2942,3,7월24일,15:21,17:56,1775.0,437.0,0.25
78,DA2874,3,8월11일,9:04,10:05,1923.0,508.0,0.26
79,DA2874,3,8월11일,10:22,11:19,1839.0,547.0,0.3
80,DA2874,3,8월11일,11:20,12:00,1914.0,457.0,0.24
81,DA2843,3,7월25일,10:25,12:00,540.0,226.0,0.42
82,DA1570,3,8월22일,11:51,13:27,1806.0,289.0,0.16
83,DA1570,3,8월22일,13:28,14:08,1840.0,92.0,0.05
84,DA1556,3,7월27일,9:52,13:43,3819.0,308.0,0.08
85,DA1549,3,8월11일,12:27,13:44,1178.0,31.0,0.03
86,DA0146,3,8월17일,9:59,10:52,2295.0,165.0,0.07
87,DA0146,3,8월17일,15:48,16:39,2443.0,223.0,0.09
88,DA0146,3,8월17일,16:40,17:00,930.0,112.0,0.12
89,DA0146,3,8월17일,17:01,17:50,2070.0,145.0,0.07
90,DA0146,3,7월31일,10:09,17:50,15240.0,1533.0,0.1
91,D135,3,7월21일,15:59,16:00,40.0,14.0,0.35
92,D012,3,8월22일,14:09,15:22,2564.0,40.0,0.02
93,D012,3,8월22일,15:23,16:22,2186.0,51.0,0.02
94,60TT,3,8월25일,11:50,13:50,2200.0,71.0,0.03
95,55TT,3,8월25일,13:50,14:24,1208.0,144.0,0.12
96,55TT,3,8월25일,14:25,16:45,2575.0,303.0,0.12
97,DA3352,3,8월17일,13:37,14:25,280.0,142.0,0.51
98,DA2942,3,8월17일,10:53,11:32,1248.0,85.0,0.07
